date,channel,campaign,spend,clicks,impressions,sales_cost
2012-04-12,Affiliate,(organic/referral),0.45,3,6,0.02
2012-04-12,Google,brand,5.4,4,20,0.65
2012-04-12,Google,nonbrand,194.4,144,720,23.33
2012-04-12,direct,(direct),0.0,4,4,0.0
2012-04-13,Affiliate,(organic/referral),0.6,4,8,0.03
2012-04-13,Google,brand,1.35,1,5,0.16
2012-04-13,Google,nonbrand,186.3,138,690,22.36
2012-04-13,direct,(direct),0.0,2,2,0.0
2012-04-14,Affiliate,(organic/referral),0.15,1,2,0.01
2012-04-14,Google,nonbrand,124.2,92,460,14.9
2012-04-15,Google,nonbrand,85.05,63,315,10.21
2012-04-15,direct,(direct),0.0,1,1,0.0
2012-04-16,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-16,Google,brand,1.35,1,5,0.16
2012-04-16,Google,nonbrand,139.05,103,515,16.69
2012-04-16,direct,(direct),0.0,4,4,0.0
2012-04-17,Affiliate,(organic/referral),0.75,5,10,0.04
2012-04-17,Bing,brand,1.1,1,4,0.13
2012-04-17,Google,brand,5.4,4,20,0.65
2012-04-17,Google,nonbrand,130.95,97,485,15.71
2012-04-17,direct,(direct),0.0,5,5,0.0
2012-04-18,Affiliate,(organic/referral),0.75,5,10,0.04
2012-04-18,Bing,brand,1.1,1,4,0.13
2012-04-18,Google,brand,6.75,5,25,0.81
2012-04-18,Google,nonbrand,155.25,115,575,18.63
2012-04-18,direct,(direct),0.0,4,4,0.0
2012-04-19,Affiliate,(organic/referral),0.9,6,12,0.04
2012-04-19,Google,brand,2.7,2,10,0.32
2012-04-19,Google,nonbrand,139.05,103,515,16.69
2012-04-19,direct,(direct),0.0,2,2,0.0
2012-04-20,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-20,Google,brand,5.4,4,20,0.65
2012-04-20,Google,nonbrand,126.9,94,470,15.23
2012-04-20,direct,(direct),0.0,3,3,0.0
2012-04-21,Google,nonbrand,62.1,46,230,7.45
2012-04-21,direct,(direct),0.0,1,1,0.0
2012-04-22,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-22,Google,brand,2.7,2,10,0.32
2012-04-22,Google,nonbrand,71.55,53,265,8.59
2012-04-22,direct,(direct),0.0,1,1,0.0
2012-04-23,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-23,Google,brand,5.4,4,20,0.65
2012-04-23,Google,nonbrand,139.05,103,515,16.69
2012-04-23,direct,(direct),0.0,8,8,0.0
2012-04-24,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-24,Bing,brand,1.1,1,4,0.13
2012-04-24,Google,brand,5.4,4,20,0.65
2012-04-24,Google,nonbrand,139.05,103,515,16.69
2012-04-24,direct,(direct),0.0,4,4,0.0
2012-04-25,Affiliate,(organic/referral),0.6,4,8,0.03
2012-04-25,Google,brand,5.4,4,20,0.65
2012-04-25,Google,nonbrand,112.05,83,415,13.45
2012-04-25,direct,(direct),0.0,2,2,0.0
2012-04-26,Affiliate,(organic/referral),0.3,2,4,0.02
2012-04-26,Bing,brand,1.1,1,4,0.13
2012-04-26,Google,brand,5.4,4,20,0.65
2012-04-26,Google,nonbrand,166.05,123,615,19.93
2012-04-26,direct,(direct),0.0,3,3,0.0
2012-04-27,Affiliate,(organic/referral),0.6,4,8,0.03
2012-04-27,Bing,brand,1.1,1,4,0.13
2012-04-27,Google,nonbrand,121.5,90,450,14.58
2012-04-27,direct,(direct),0.0,5,5,0.0
2012-04-28,Google,brand,1.35,1,5,0.16
2012-04-28,Google,nonbrand,52.65,39,195,6.32
2012-04-29,Bing,brand,1.1,1,4,0.13
2012-04-29,Google,brand,4.05,3,15,0.49
2012-04-29,Google,nonbrand,64.8,48,240,7.78
2012-04-30,Affiliate,(organic/referral),1.2,8,16,0.06
2012-04-30,Google,brand,5.4,4,20,0.65
2012-04-30,Google,nonbrand,149.85,111,555,17.98
2012-04-30,direct,(direct),0.0,3,3,0.0
2012-05-01,Affiliate,(organic/referral),0.75,5,10,0.04
2012-05-01,Bing,brand,1.1,1,4,0.13
2012-05-01,Google,brand,6.75,5,25,0.81
2012-05-01,Google,nonbrand,180.9,134,670,21.71
2012-05-01,direct,(direct),0.0,7,7,0.0
2012-05-02,Affiliate,(organic/referral),1.05,7,14,0.05
2012-05-02,Bing,brand,1.1,1,4,0.13
2012-05-02,Google,brand,1.35,1,5,0.16
2012-05-02,Google,nonbrand,170.1,126,630,20.41
2012-05-02,direct,(direct),0.0,5,5,0.0
2012-05-03,Affiliate,(organic/referral),0.15,1,2,0.01
2012-05-03,Google,brand,6.75,5,25,0.81
2012-05-03,Google,nonbrand,141.75,105,525,17.01
2012-05-03,direct,(direct),0.0,4,4,0.0
2012-05-04,Affiliate,(organic/referral),1.2,8,16,0.06
2012-05-04,Bing,brand,1.1,1,4,0.13
2012-05-04,Google,brand,4.05,3,15,0.49
2012-05-04,Google,nonbrand,155.25,115,575,18.63
2012-05-04,direct,(direct),0.0,9,9,0.0
2012-05-05,Affiliate,(organic/referral),0.15,1,2,0.01
2012-05-05,Google,brand,4.05,3,15,0.49
2012-05-05,Google,nonbrand,56.7,42,210,6.8
2012-05-05,direct,(direct),0.0,3,3,0.0
2012-05-06,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-06,Bing,brand,1.1,1,4,0.13
2012-05-06,Google,brand,1.35,1,5,0.16
2012-05-06,Google,nonbrand,66.15,49,245,7.94
2012-05-06,direct,(direct),0.0,3,3,0.0
2012-05-07,Affiliate,(organic/referral),0.9,6,12,0.04
2012-05-07,Google,brand,9.45,7,35,1.13
2012-05-07,Google,nonbrand,157.95,117,585,18.95
2012-05-07,direct,(direct),0.0,6,6,0.0
2012-05-08,Affiliate,(organic/referral),0.15,1,2,0.01
2012-05-08,Google,brand,5.4,4,20,0.65
2012-05-08,Google,nonbrand,162.0,120,600,19.44
2012-05-08,direct,(direct),0.0,9,9,0.0
2012-05-09,Affiliate,(organic/referral),0.9,6,12,0.04
2012-05-09,Bing,brand,1.1,1,4,0.13
2012-05-09,Google,brand,5.4,4,20,0.65
2012-05-09,Google,nonbrand,152.55,113,565,18.31
2012-05-09,direct,(direct),0.0,4,4,0.0
2012-05-10,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-10,Bing,brand,3.3,3,12,0.4
2012-05-10,Google,brand,2.7,2,10,0.32
2012-05-10,Google,nonbrand,163.35,121,605,19.6
2012-05-10,direct,(direct),0.0,2,2,0.0
2012-05-11,Affiliate,(organic/referral),0.9,6,12,0.04
2012-05-11,Google,brand,5.4,4,20,0.65
2012-05-11,Google,nonbrand,176.85,131,655,21.22
2012-05-11,direct,(direct),0.0,5,5,0.0
2012-05-12,Google,brand,4.05,3,15,0.49
2012-05-12,Google,nonbrand,82.35,61,305,9.88
2012-05-13,Bing,brand,1.1,1,4,0.13
2012-05-13,Google,brand,2.7,2,10,0.32
2012-05-13,Google,nonbrand,66.15,49,245,7.94
2012-05-13,direct,(direct),0.0,4,4,0.0
2012-05-14,Affiliate,(organic/referral),0.9,6,12,0.04
2012-05-14,Bing,brand,2.2,2,8,0.26
2012-05-14,Google,brand,9.45,7,35,1.13
2012-05-14,Google,nonbrand,117.45,87,435,14.09
2012-05-14,direct,(direct),0.0,3,3,0.0
2012-05-15,Affiliate,(organic/referral),0.75,5,10,0.04
2012-05-15,Bing,brand,1.1,1,4,0.13
2012-05-15,Google,brand,5.4,4,20,0.65
2012-05-15,Google,nonbrand,163.35,121,605,19.6
2012-05-15,direct,(direct),0.0,5,5,0.0
2012-05-16,Affiliate,(organic/referral),1.2,8,16,0.06
2012-05-16,Bing,brand,1.1,1,4,0.13
2012-05-16,Google,brand,2.7,2,10,0.32
2012-05-16,Google,nonbrand,144.45,107,535,17.33
2012-05-16,direct,(direct),0.0,2,2,0.0
2012-05-17,Affiliate,(organic/referral),1.05,7,14,0.05
2012-05-17,Bing,brand,1.1,1,4,0.13
2012-05-17,Google,brand,1.35,1,5,0.16
2012-05-17,Google,nonbrand,155.25,115,575,18.63
2012-05-17,direct,(direct),0.0,4,4,0.0
2012-05-18,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-18,Google,brand,4.05,3,15,0.49
2012-05-18,Google,nonbrand,124.2,92,460,14.9
2012-05-18,direct,(direct),0.0,7,7,0.0
2012-05-19,Affiliate,(organic/referral),0.45,3,6,0.02
2012-05-19,Google,brand,2.7,2,10,0.32
2012-05-19,Google,nonbrand,62.1,46,230,7.45
2012-05-19,direct,(direct),0.0,4,4,0.0
2012-05-20,Affiliate,(organic/referral),0.45,3,6,0.02
2012-05-20,Bing,brand,1.1,1,4,0.13
2012-05-20,Google,brand,4.05,3,15,0.49
2012-05-20,Google,nonbrand,110.7,82,410,13.28
2012-05-20,direct,(direct),0.0,1,1,0.0
2012-05-21,Affiliate,(organic/referral),1.2,8,16,0.06
2012-05-21,Google,brand,6.75,5,25,0.81
2012-05-21,Google,nonbrand,186.3,138,690,22.36
2012-05-21,direct,(direct),0.0,7,7,0.0
2012-05-22,Affiliate,(organic/referral),1.5,10,20,0.08
2012-05-22,Google,brand,5.4,4,20,0.65
2012-05-22,Google,nonbrand,184.95,137,685,22.19
2012-05-22,direct,(direct),0.0,6,6,0.0
2012-05-23,Affiliate,(organic/referral),0.45,3,6,0.02
2012-05-23,Bing,brand,1.1,1,4,0.13
2012-05-23,Google,brand,6.75,5,25,0.81
2012-05-23,Google,nonbrand,190.35,141,705,22.84
2012-05-23,direct,(direct),0.0,12,12,0.0
2012-05-24,Affiliate,(organic/referral),1.35,9,18,0.07
2012-05-24,Bing,brand,3.3,3,12,0.4
2012-05-24,Google,brand,6.75,5,25,0.81
2012-05-24,Google,nonbrand,228.15,169,845,27.38
2012-05-24,direct,(direct),0.0,4,4,0.0
2012-05-25,Affiliate,(organic/referral),0.9,6,12,0.04
2012-05-25,Google,brand,4.05,3,15,0.49
2012-05-25,Google,nonbrand,174.15,129,645,20.9
2012-05-25,direct,(direct),0.0,6,6,0.0
2012-05-26,Affiliate,(organic/referral),0.3,2,4,0.02
2012-05-26,Google,brand,2.7,2,10,0.32
2012-05-26,Google,nonbrand,74.25,55,275,8.91
2012-05-26,direct,(direct),0.0,5,5,0.0
2012-05-27,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-27,Google,brand,1.35,1,5,0.16
2012-05-27,Google,nonbrand,85.05,63,315,10.21
2012-05-27,direct,(direct),0.0,3,3,0.0
2012-05-28,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-28,Bing,brand,2.2,2,8,0.26
2012-05-28,Google,brand,6.75,5,25,0.81
2012-05-28,Google,nonbrand,133.65,99,495,16.04
2012-05-28,direct,(direct),0.0,5,5,0.0
2012-05-29,Affiliate,(organic/referral),0.6,4,8,0.03
2012-05-29,Bing,brand,1.1,1,4,0.13
2012-05-29,Google,brand,4.05,3,15,0.49
2012-05-29,Google,nonbrand,201.15,149,745,24.14
2012-05-29,direct,(direct),0.0,3,3,0.0
2012-05-30,Affiliate,(organic/referral),1.2,8,16,0.06
2012-05-30,Bing,brand,2.2,2,8,0.26
2012-05-30,Google,brand,10.8,8,40,1.3
2012-05-30,Google,nonbrand,183.6,136,680,22.03
2012-05-30,direct,(direct),0.0,5,5,0.0
2012-05-31,Affiliate,(organic/referral),1.05,7,14,0.05
2012-05-31,Bing,brand,1.1,1,4,0.13
2012-05-31,Google,brand,10.8,8,40,1.3
2012-05-31,Google,nonbrand,197.1,146,730,23.65
2012-05-31,direct,(direct),0.0,8,8,0.0
2012-06-01,Affiliate,(organic/referral),0.9,6,12,0.04
2012-06-01,Google,brand,2.7,2,10,0.32
2012-06-01,Google,nonbrand,159.3,118,590,19.12
2012-06-01,direct,(direct),0.0,8,8,0.0
2012-06-02,Affiliate,(organic/referral),0.6,4,8,0.03
2012-06-02,Google,brand,1.35,1,5,0.16
2012-06-02,Google,nonbrand,76.95,57,285,9.23
2012-06-02,direct,(direct),0.0,4,4,0.0
2012-06-03,Affiliate,(organic/referral),0.6,4,8,0.03
2012-06-03,Google,brand,8.1,6,30,0.97
2012-06-03,Google,nonbrand,70.2,52,260,8.42
2012-06-03,direct,(direct),0.0,3,3,0.0
2012-06-04,Affiliate,(organic/referral),1.35,9,18,0.07
2012-06-04,Bing,brand,1.1,1,4,0.13
2012-06-04,Google,brand,8.1,6,30,0.97
2012-06-04,Google,nonbrand,175.5,130,650,21.06
2012-06-04,direct,(direct),0.0,5,5,0.0
2012-06-05,Affiliate,(organic/referral),1.05,7,14,0.05
2012-06-05,Bing,brand,2.2,2,8,0.26
2012-06-05,Google,brand,5.4,4,20,0.65
2012-06-05,Google,nonbrand,168.75,125,625,20.25
2012-06-05,direct,(direct),0.0,8,8,0.0
2012-06-06,Affiliate,(organic/referral),1.2,8,16,0.06
2012-06-06,Google,brand,8.1,6,30,0.97
2012-06-06,Google,nonbrand,203.85,151,755,24.46
2012-06-06,direct,(direct),0.0,8,8,0.0
2012-06-07,Affiliate,(organic/referral),1.05,7,14,0.05
2012-06-07,Bing,brand,2.2,2,8,0.26
2012-06-07,Google,brand,4.05,3,15,0.49
2012-06-07,Google,nonbrand,218.7,162,810,26.24
2012-06-07,direct,(direct),0.0,7,7,0.0
2012-06-08,Affiliate,(organic/referral),0.9,6,12,0.04
2012-06-08,Bing,brand,1.1,1,4,0.13
2012-06-08,Google,brand,8.1,6,30,0.97
2012-06-08,Google,nonbrand,160.65,119,595,19.28
2012-06-08,direct,(direct),0.0,6,6,0.0
2012-06-09,Affiliate,(organic/referral),0.6,4,8,0.03
2012-06-09,Google,brand,4.05,3,15,0.49
2012-06-09,Google,nonbrand,71.55,53,265,8.59
2012-06-09,direct,(direct),0.0,6,6,0.0
2012-06-10,Affiliate,(organic/referral),0.3,2,4,0.02
2012-06-10,Google,brand,1.35,1,5,0.16
2012-06-10,Google,nonbrand,82.35,61,305,9.88
2012-06-10,direct,(direct),0.0,3,3,0.0
2012-06-11,Affiliate,(organic/referral),1.2,8,16,0.06
2012-06-11,Bing,brand,1.1,1,4,0.13
2012-06-11,Google,brand,8.1,6,30,0.97
2012-06-11,Google,nonbrand,214.65,159,795,25.76
2012-06-11,direct,(direct),0.0,4,4,0.0
2012-06-12,Affiliate,(organic/referral),1.05,7,14,0.05
2012-06-12,Bing,brand,1.1,1,4,0.13
2012-06-12,Google,brand,10.8,8,40,1.3
2012-06-12,Google,nonbrand,175.5,130,650,21.06
2012-06-12,direct,(direct),0.0,5,5,0.0
2012-06-13,Affiliate,(organic/referral),0.75,5,10,0.04
2012-06-13,Bing,brand,1.1,1,4,0.13
2012-06-13,Google,brand,5.4,4,20,0.65
2012-06-13,Google,nonbrand,225.45,167,835,27.05
2012-06-13,direct,(direct),0.0,6,6,0.0
2012-06-14,Affiliate,(organic/referral),1.95,13,26,0.1
2012-06-14,Bing,brand,1.1,1,4,0.13
2012-06-14,Google,brand,4.05,3,15,0.49
2012-06-14,Google,nonbrand,222.75,165,825,26.73
2012-06-14,direct,(direct),0.0,14,14,0.0
2012-06-15,Affiliate,(organic/referral),0.9,6,12,0.04
2012-06-15,Google,brand,12.15,9,45,1.46
2012-06-15,Google,nonbrand,175.5,130,650,21.06
2012-06-15,direct,(direct),0.0,2,2,0.0
2012-06-16,Affiliate,(organic/referral),0.6,4,8,0.03
2012-06-16,Bing,brand,2.2,2,8,0.26
2012-06-16,Google,brand,1.35,1,5,0.16
2012-06-16,Google,nonbrand,85.05,63,315,10.21
2012-06-16,direct,(direct),0.0,2,2,0.0
2012-06-17,Affiliate,(organic/referral),0.75,5,10,0.04
2012-06-17,Google,brand,4.05,3,15,0.49
2012-06-17,Google,nonbrand,86.4,64,320,10.37
2012-06-17,direct,(direct),0.0,5,5,0.0
2012-06-18,Affiliate,(organic/referral),1.8,12,24,0.09
2012-06-18,Bing,brand,1.1,1,4,0.13
2012-06-18,Google,brand,9.45,7,35,1.13
2012-06-18,Google,nonbrand,155.25,115,575,18.63
2012-06-18,direct,(direct),0.0,7,7,0.0
2012-06-19,Affiliate,(organic/referral),1.95,13,26,0.1
2012-06-19,Google,brand,10.8,8,40,1.3
2012-06-19,Google,nonbrand,213.3,158,790,25.6
2012-06-19,direct,(direct),0.0,3,3,0.0
2012-06-20,Affiliate,(organic/referral),0.45,3,6,0.02
2012-06-20,Bing,brand,2.2,2,8,0.26
2012-06-20,Google,brand,9.45,7,35,1.13
2012-06-20,Google,nonbrand,201.15,149,745,24.14
2012-06-20,direct,(direct),0.0,4,4,0.0
2012-06-21,Affiliate,(organic/referral),0.9,6,12,0.04
2012-06-21,Bing,brand,1.1,1,4,0.13
2012-06-21,Google,brand,5.4,4,20,0.65
2012-06-21,Google,nonbrand,193.05,143,715,23.17
2012-06-21,direct,(direct),0.0,8,8,0.0
2012-06-22,Affiliate,(organic/referral),0.6,4,8,0.03
2012-06-22,Bing,brand,3.3,3,12,0.4
2012-06-22,Google,brand,4.05,3,15,0.49
2012-06-22,Google,nonbrand,194.4,144,720,23.33
2012-06-22,direct,(direct),0.0,6,6,0.0
2012-06-23,Affiliate,(organic/referral),0.3,2,4,0.02
2012-06-23,Google,brand,2.7,2,10,0.32
2012-06-23,Google,nonbrand,93.15,69,345,11.18
2012-06-23,direct,(direct),0.0,5,5,0.0
2012-06-24,Affiliate,(organic/referral),0.45,3,6,0.02
2012-06-24,Google,brand,4.05,3,15,0.49
2012-06-24,Google,nonbrand,66.15,49,245,7.94
2012-06-24,direct,(direct),0.0,3,3,0.0
2012-06-25,Affiliate,(organic/referral),0.9,6,12,0.04
2012-06-25,Google,brand,5.4,4,20,0.65
2012-06-25,Google,nonbrand,167.4,124,620,20.09
2012-06-25,direct,(direct),0.0,3,3,0.0
2012-06-26,Affiliate,(organic/referral),0.75,5,10,0.04
2012-06-26,Bing,brand,1.1,1,4,0.13
2012-06-26,Google,brand,8.1,6,30,0.97
2012-06-26,Google,nonbrand,186.3,138,690,22.36
2012-06-26,direct,(direct),0.0,7,7,0.0
2012-06-27,Affiliate,(organic/referral),1.35,9,18,0.07
2012-06-27,Bing,brand,2.2,2,8,0.26
2012-06-27,Google,brand,9.45,7,35,1.13
2012-06-27,Google,nonbrand,199.8,148,740,23.98
2012-06-27,direct,(direct),0.0,8,8,0.0
2012-06-28,Affiliate,(organic/referral),1.05,7,14,0.05
2012-06-28,Bing,brand,1.1,1,4,0.13
2012-06-28,Google,brand,10.8,8,40,1.3
2012-06-28,Google,nonbrand,171.45,127,635,20.57
2012-06-28,direct,(direct),0.0,9,9,0.0
2012-06-29,Affiliate,(organic/referral),2.1,14,28,0.11
2012-06-29,Bing,brand,2.2,2,8,0.26
2012-06-29,Google,brand,2.7,2,10,0.32
2012-06-29,Google,nonbrand,147.15,109,545,17.66
2012-06-29,direct,(direct),0.0,5,5,0.0
2012-06-30,Affiliate,(organic/referral),0.15,1,2,0.01
2012-06-30,Google,brand,8.1,6,30,0.97
2012-06-30,Google,nonbrand,81.0,60,300,9.72
2012-06-30,direct,(direct),0.0,6,6,0.0
2012-07-01,Affiliate,(organic/referral),0.6,4,8,0.03
2012-07-01,Bing,brand,2.2,2,8,0.26
2012-07-01,Google,brand,4.05,3,15,0.49
2012-07-01,Google,nonbrand,95.85,71,355,11.5
2012-07-01,direct,(direct),0.0,3,3,0.0
2012-07-02,Affiliate,(organic/referral),1.35,9,18,0.07
2012-07-02,Bing,brand,2.2,2,8,0.26
2012-07-02,Google,brand,2.7,2,10,0.32
2012-07-02,Google,nonbrand,186.3,138,690,22.36
2012-07-02,direct,(direct),0.0,3,3,0.0
2012-07-03,Affiliate,(organic/referral),1.5,10,20,0.08
2012-07-03,Bing,brand,2.2,2,8,0.26
2012-07-03,Google,brand,5.4,4,20,0.65
2012-07-03,Google,nonbrand,187.65,139,695,22.52
2012-07-03,direct,(direct),0.0,11,11,0.0
2012-07-04,Affiliate,(organic/referral),0.9,6,12,0.04
2012-07-04,Bing,brand,1.1,1,4,0.13
2012-07-04,Google,brand,5.4,4,20,0.65
2012-07-04,Google,nonbrand,147.15,109,545,17.66
2012-07-04,direct,(direct),0.0,5,5,0.0
2012-07-05,Affiliate,(organic/referral),1.05,7,14,0.05
2012-07-05,Google,brand,10.8,8,40,1.3
2012-07-05,Google,nonbrand,198.45,147,735,23.81
2012-07-05,direct,(direct),0.0,3,3,0.0
2012-07-06,Affiliate,(organic/referral),0.75,5,10,0.04
2012-07-06,Bing,brand,2.2,2,8,0.26
2012-07-06,Google,brand,2.7,2,10,0.32
2012-07-06,Google,nonbrand,174.15,129,645,20.9
2012-07-06,direct,(direct),0.0,8,8,0.0
2012-07-07,Affiliate,(organic/referral),0.6,4,8,0.03
2012-07-07,Google,brand,2.7,2,10,0.32
2012-07-07,Google,nonbrand,63.45,47,235,7.61
2012-07-08,Bing,brand,1.1,1,4,0.13
2012-07-08,Google,brand,6.75,5,25,0.81
2012-07-08,Google,nonbrand,95.85,71,355,11.5
2012-07-08,direct,(direct),0.0,3,3,0.0
2012-07-09,Affiliate,(organic/referral),0.75,5,10,0.04
2012-07-09,Bing,brand,2.2,2,8,0.26
2012-07-09,Google,brand,5.4,4,20,0.65
2012-07-09,Google,nonbrand,172.8,128,640,20.74
2012-07-09,direct,(direct),0.0,6,6,0.0
2012-07-10,Affiliate,(organic/referral),1.05,7,14,0.05
2012-07-10,Bing,brand,1.1,1,4,0.13
2012-07-10,Google,brand,6.75,5,25,0.81
2012-07-10,Google,nonbrand,176.85,131,655,21.22
2012-07-10,direct,(direct),0.0,7,7,0.0
2012-07-11,Affiliate,(organic/referral),2.1,14,28,0.11
2012-07-11,Bing,brand,1.1,1,4,0.13
2012-07-11,Google,brand,9.45,7,35,1.13
2012-07-11,Google,nonbrand,207.9,154,770,24.95
2012-07-11,direct,(direct),0.0,4,4,0.0
2012-07-12,Affiliate,(organic/referral),0.75,5,10,0.04
2012-07-12,Google,brand,2.7,2,10,0.32
2012-07-12,Google,nonbrand,187.65,139,695,22.52
2012-07-12,direct,(direct),0.0,15,15,0.0
2012-07-13,Affiliate,(organic/referral),1.35,9,18,0.07
2012-07-13,Google,brand,2.7,2,10,0.32
2012-07-13,Google,nonbrand,152.55,113,565,18.31
2012-07-13,direct,(direct),0.0,7,7,0.0
2012-07-14,Affiliate,(organic/referral),0.15,1,2,0.01
2012-07-14,Bing,brand,2.2,2,8,0.26
2012-07-14,Google,brand,5.4,4,20,0.65
2012-07-14,Google,nonbrand,87.75,65,325,10.53
2012-07-14,direct,(direct),0.0,5,5,0.0
2012-07-15,Affiliate,(organic/referral),0.45,3,6,0.02
2012-07-15,Bing,brand,1.1,1,4,0.13
2012-07-15,Google,brand,2.7,2,10,0.32
2012-07-15,Google,nonbrand,103.95,77,385,12.47
2012-07-15,direct,(direct),0.0,7,7,0.0
2012-07-16,Affiliate,(organic/referral),0.6,4,8,0.03
2012-07-16,Bing,brand,1.1,1,4,0.13
2012-07-16,Google,brand,4.05,3,15,0.49
2012-07-16,Google,nonbrand,176.85,131,655,21.22
2012-07-16,direct,(direct),0.0,5,5,0.0
2012-07-17,Affiliate,(organic/referral),1.05,7,14,0.05
2012-07-17,Bing,brand,2.2,2,8,0.26
2012-07-17,Google,brand,14.85,11,55,1.78
2012-07-17,Google,nonbrand,211.95,157,785,25.43
2012-07-17,direct,(direct),0.0,8,8,0.0
2012-07-18,Affiliate,(organic/referral),1.2,8,16,0.06
2012-07-18,Bing,brand,1.1,1,4,0.13
2012-07-18,Google,brand,9.45,7,35,1.13
2012-07-18,Google,nonbrand,201.15,149,745,24.14
2012-07-18,direct,(direct),0.0,5,5,0.0
2012-07-19,Affiliate,(organic/referral),1.95,13,26,0.1
2012-07-19,Bing,brand,1.1,1,4,0.13
